date	year	month	eR_Market	PRICEDIVIDENDRATIO_level_inv_z	PRICEDIVIDENDRATIO_level_lag_inv_z
1978-03	1978	03	.02795533	1.82080306874385	1.77122130727032
1978-04	1978	04	.07536468	1.66595849880038	1.81954150197246
1978-05	1978	05	.01735915	1.48887678283475	1.66468370022592
1978-06	1978	06	-.01695211	1.50934313431483	1.48758685224505
1978-07	1978	07	.04956647	1.5606631816749	1.50805495261908
1978-08	1978	08	.03661625	1.3179615385775	1.55937938538808
1978-09	1978	09	-.01431384	1.34715482818182	1.31665700291089
1978-10	1978	10	-.12589841	1.49195969759133	1.34585278714488
1978-11	1978	11	.02655587	1.76405486290902	1.49067003044335
1978-12	1978	12	.00869399	1.71411361294278	1.76278844688083
1979-01	1979	01	.04111966	1.59251883726052	1.71284292932687
1979-02	1979	02	-.03598165	1.69292526193136	1.5912377631083
1979-03	1979	03	.05481352	1.64761008433009	1.69165276772508
1979-04	1979	04	-.00069469	1.60124888330489	1.64633371784397
1979-05	1979	05	-.02216407	1.74096036083264	1.59996855515397
1979-06	1979	06	.03747944	1.69387602553423	1.73969197132935
1979-07	1979	07	.00810441	1.69722867759496	1.69260361257275
1979-08	1979	08	.05333052	1.55065249677812	1.69595655112485
1979-09	1979	09	-.00816575	1.54740708424117	1.54936784505665
1979-10	1979	10	-.08370925	1.74900501756219	1.54612215519219
1979-11	1979	11	.05030261	1.82015574211837	1.74773731549219
1979-12	1979	12	.01757618	1.68597478301054	1.81889412003153
1980-01	1980	01	.053221	1.60208343939018	1.68470169487082
1980-02	1980	02	-.01216609	1.47571435164758	1.60080318255388
1980-03	1980	03	-.13634421	1.93284309075499	1.4744232962997
1980-04	1980	04	.03836193	2.04594838332254	1.93159109804556
1980-05	1980	05	.0508617	1.87688376582785	2.04470605570474
1980-06	1980	06	.02996112	1.63804865636935	1.8756269912732
1980-07	1980	07	.06255954	1.48187031830829	1.63677147283855
1980-08	1980	08	.01772747	1.38712903476635	1.48057978900105
1980-09	1980	09	.02160123	1.31973386102013	1.38583040961173
1980-10	1980	10	.0104455	1.22600139539661	1.31842947680229
1980-11	1980	11	.09074351	1.08721798920865	1.22468900153706
1980-12	1980	12	-.04574476	1.16738156744751	1.08589373600718
1981-01	1981	01	-.05116829	1.20660808963543	1.16606416439701
1981-02	1981	02	.00552542	1.37051780299544	1.20529403857601
1981-03	1981	03	.03447445	1.25049748371207	1.36921775837517
1981-04	1981	04	-.02109551	1.23824648011008	1.2491871830962
1981-05	1981	05	.0010869	1.34096998179779	1.23693513261948
1981-06	1981	06	-.02356104	1.3457997728992	1.33966741225236
1981-07	1981	07	-.01532826	1.47258983715763	1.34449761606986
1981-08	1981	08	-.07193813	1.48434983413976	1.47129851481323
1981-09	1981	09	-.07345475	1.90949550324877	1.48305951671251
1981-10	1981	10	.04746719	1.87773344781763	1.90824151543755
1981-11	1981	11	.03260788	1.78821717427329	1.87647674587014
1981-12	1981	12	-.03685611	1.78045792357391	1.78695282296681
1982-01	1982	01	-.03267078	2.04708404225768	1.77919290922269
1982-02	1982	02	-.05971466	2.18360189420584	2.0458418116844
1982-03	1982	03	-.01869213	2.36738918173361	2.18237132937798
1982-04	1982	04	.03182286	2.15147604180569	2.36617432192656
1982-05	1982	05	-.04028203	2.16867080055506	2.15024273175432
1982-06	1982	06	-.03108433	2.48555522470199	2.16743895983298
1982-07	1982	07	-.03207756	2.50971286225806	2.48435046243864
1982-08	1982	08	.10486417	2.5056649267694	2.50851016431703
1982-09	1982	09	.01275288	1.97979935038149	2.50446188292354
1982-10	1982	10	.1064634	1.62464823466737	1.97855137018591
1982-11	1982	11	.04545796	1.46151550533623	1.62336990604158
1982-12	1982	12	.00544853	1.42713738088303	1.46022323666625
1983-01	1983	01	.0350331	1.29635340538668	1.42584217452804
1983-02	1983	02	.0254147	1.23667578559272	1.29504702325839
1983-03	1983	03	.02763798	1.11346253635869	1.23536430388288
1983-04	1983	04	.06412885	0.98031576955276	1.11214052581048
1983-05	1983	05	.00515108	0.843798629185399	0.97898238132564
1983-06	1983	06	.03003993	0.800485806869592	0.842453575273666
1983-07	1983	07	-.04123983	0.797998463300568	0.799137051783607
1983-08	1983	08	-.00497464	0.905830318542869	0.796649495665702
1983-09	1983	09	.00908918	0.813663639125386	0.904490565373022
1983-10	1983	10	-.03473693	0.81813485429579	0.812316010113641
1983-11	1983	11	.02122304	0.885630699869135	0.816787607359042
1983-12	1983	12	-.017829	0.917925891658403	0.884289220598228
1984-01	1984	01	-.01934025	0.889962666807868	0.916587172081413
1984-02	1984	02	-.0490434	1.11049163468348	0.888621557712896
1984-03	1984	03	.00623487	1.12386936817071	1.1091693702653
1984-04	1984	04	-.00507186	1.14182212256133	1.12254824690876
1984-05	1984	05	-.06106503	1.18892299891348	1.14050253540104
1984-06	1984	06	.01790329	1.30007982353699	1.18760743662484
1984-07	1984	07	-.02755328	1.36512536554811	1.29877375983919
1984-08	1984	08	.09708477	1.05209812259299	1.36382486013241
1984-09	1984	09	-.00796341	1.02583405755926	1.05077086832304
1984-10	1984	10	-.00845145	1.07992019704808	1.0245045589682
1984-11	1984	11	-.0176269	1.07115252591908	1.0785953202345
1984-12	1984	12	.01811787	1.13700463504173	1.06982689988906
1985-01	1985	01	.07629846	1.00123014469342	1.13568463621672
1985-02	1985	02	.01205667	0.833372406408637	0.999898543644842
1985-03	1985	03	-.00838328	0.882470107855679	0.832026461553641
1985-04	1985	04	-.00957709	0.871218636262339	0.881128358505355
1985-05	1985	05	.04932932	0.801271575102006	0.869875925449456
1985-06	1985	06	.01264964	0.739882019388332	0.799922887161615
1985-07	1985	07	-.00738158	0.690821864482253	0.738528085577762
1985-08	1985	08	-.01019601	0.779968852125361	0.689463738375444
1985-09	1985	09	-.04617926	0.873179653206718	0.778618343821263
1985-10	1985	10	.03916339	0.842335879522618	0.871837109966971
1985-11	1985	11	.06241795	0.650936042696361	0.840990700615766
1985-12	1985	12	.03782496	0.502896999580089	0.6495745082599
1986-01	1986	01	.006443	0.505163050644712	0.50152281488753
1986-02	1986	02	.06852192	0.359211754411148	0.503789059591113
1986-03	1986	03	.0473691	0.206384366342725	0.357825291503934
1986-04	1986	04	-.0131179	0.147260613282942	0.20498484400499
1986-05	1986	05	.0449492	0.150643979277251	0.145856038692762
1986-06	1986	06	.01029304	0.0820182464150837	0.149239693803006
1986-07	1986	07	-.06631752	0.154932726591392	0.0806080967236876
1986-08	1986	08	.058667	0.114623807502504	0.153528807599871
1986-09	1986	09	-.08950329	0.207375558373052	0.113216444026753
1986-10	1986	10	.04534292	0.224013283428964	0.205976120734819
1986-11	1986	11	.01158716	0.139367088006655	0.222615267520285
1986-12	1986	12	-.03308177	0.10565276150561	0.137961838897685
1987-01	1987	01	.11696392	-0.0537049996380262	0.104244631434594
1987-02	1987	02	.04278362	-0.199358475878256	-0.0551267471740506
1987-03	1987	03	.01619149	-0.290864008224075	-0.200792669818534
1987-04	1987	04	-.02112967	-0.247621821145772	-0.292306021509806
1987-05	1987	05	.00099572	-0.228793285699937	-0.249060139293185
1987-06	1987	06	.03846253	-0.311108207110299	-0.230229994908314
1987-07	1987	07	.0376076	-0.364259368691864	-0.312551950306565
1987-08	1987	08	.03443557	-0.486428402675658	-0.365707653769729
