date	year	month	eR_Market
1976-04	1976	04	-.01494886
1976-05	1976	05	-.01354151
1976-06	1976	06	.0395347
1976-07	1976	07	-.01070706
1976-08	1976	08	-.00559219
1976-09	1976	09	.02030226
1976-10	1976	10	-.02449843
1976-11	1976	11	.00347999
1976-12	1976	12	.05474848
1977-01	1977	01	-.04119157
1977-02	1977	02	-.01952165
1977-03	1977	03	-.01374213
1977-04	1977	04	.00139373
1977-05	1977	05	-.01455192
1977-06	1977	06	.04584521
1977-07	1977	07	-.01697254
1977-08	1977	08	-.01757691
1977-09	1977	09	-.00269206
1977-10	1977	10	-.04456485
1977-11	1977	11	.03902934
1977-12	1977	12	.00258398
1978-01	1978	01	-.06167005
1978-02	1978	02	-.01383203
1978-03	1978	03	.02795533
1978-04	1978	04	.07536468
1978-05	1978	05	.01735915
1978-06	1978	06	-.01695211
1978-07	1978	07	.04956647
1978-08	1978	08	.03661625
1978-09	1978	09	-.01431384
1978-10	1978	10	-.12589841
1978-11	1978	11	.02655587
1978-12	1978	12	.00869399
1979-01	1979	01	.04111966
1979-02	1979	02	-.03598165
1979-03	1979	03	.05481352
1979-04	1979	04	-.00069469
1979-05	1979	05	-.02216407
1979-06	1979	06	.03747944
1979-07	1979	07	.00810441
1979-08	1979	08	.05333052
1979-09	1979	09	-.00816575
1979-10	1979	10	-.08370925
1979-11	1979	11	.05030261
1979-12	1979	12	.01757618
1980-01	1980	01	.053221
1980-02	1980	02	-.01216609
1980-03	1980	03	-.13634421
1980-04	1980	04	.03836193
1980-05	1980	05	.0508617
1980-06	1980	06	.02996112
1980-07	1980	07	.06255954
1980-08	1980	08	.01772747
1980-09	1980	09	.02160123
1980-10	1980	10	.0104455
1980-11	1980	11	.09074351
1980-12	1980	12	-.04574476
1981-01	1981	01	-.05116829
1981-02	1981	02	.00552542
1981-03	1981	03	.03447445
1981-04	1981	04	-.02109551
1981-05	1981	05	.0010869
1981-06	1981	06	-.02356104
1981-07	1981	07	-.01532826
1981-08	1981	08	-.07193813
1981-09	1981	09	-.07345475
1981-10	1981	10	.04746719
1981-11	1981	11	.03260788
1981-12	1981	12	-.03685611
1982-01	1982	01	-.03267078
1982-02	1982	02	-.05971466
1982-03	1982	03	-.01869213
1982-04	1982	04	.03182286
1982-05	1982	05	-.04028203
1982-06	1982	06	-.03108433
1982-07	1982	07	-.03207756
1982-08	1982	08	.10486417
1982-09	1982	09	.01275288
1982-10	1982	10	.1064634
1982-11	1982	11	.04545796
1982-12	1982	12	.00544853
1983-01	1983	01	.0350331
1983-02	1983	02	.0254147
1983-03	1983	03	.02763798
1983-04	1983	04	.06412885
1983-05	1983	05	.00515108
1983-06	1983	06	.03003993
1983-07	1983	07	-.04123983
1983-08	1983	08	-.00497464
1983-09	1983	09	.00908918
1983-10	1983	10	-.03473693
1983-11	1983	11	.02122304
1983-12	1983	12	-.017829
1984-01	1984	01	-.01934025
1984-02	1984	02	-.0490434
1984-03	1984	03	.00623487
1984-04	1984	04	-.00507186
1984-05	1984	05	-.06106503
1984-06	1984	06	.01790329
1984-07	1984	07	-.02755328
1984-08	1984	08	.09708477
1984-09	1984	09	-.00796341
